location_id,west__distance_in_time,west__station,east__distance_in_time,east__station,south__distance_in_time,south__station,north__distance_in_time,nortth__station
Alcántara,630,El Golf,600,Escuela Militar,,,,
Baquedano,660,Universidad Católica,900,Salvador,610,Parque Bustamante,1050,Bellas Artes
Universidad de Chile,99999,La Moneda,480,Santa Lucía,840,Parque Almagro,730,Plaza de Armas
Barrancas,1220,Laguna Sur,960,Pudahuel,,,,
Bellas Artes,640,Plaza de Armas,1050,Baquedano,,,,
Bellavista de La Florida,920,Mirador,770,Vicente Valdés,,,,
Bío Bío,640,Franklin,2120,Ñuble,,,,
Blanqueado,860,Lo Prado,1520,Gruta de Lourdes,,,,
Camino Agrícola,540,Carlos Valdovinos,790,San Joaquín,,,,
Cardenal Caro,1110,Los Libertadores,1600,Vivaceta,,,,
Carlos Valdovinos,1060,Rodrigo de Araya,540,Camino Agrícola,,,,
Cementerios,920,Einstein,970,Cerro Blanco,,,,
Cerrillos,,,1570,Lo Valledor,,,,
Cerro Blanco,970,Cementerios,780,Patronato,,,,
Chile España,750,Ñuñoa,1540,Villa Frei,,,,
Ciudad del Niño,770,Departamental,880,Lo Ovalle,,,,
Conchalí,1560,Vivaceta,1310,Plaza Chacabuco,,,,
Cristóbal Colón,1310,Tobalaba,770,Francisco Bilbao,,,,
Cumming,1090,Quinta Normal,820,Santa Ana,,,,
Del Sol,810,Santiago Bueras,1050,Monte Tabor,,,,
Departamental,640,Lo Vial,770,Ciudad del Niño,,,,
Dorsal,660,Zapadores,1440,Einstein,,,,
Ecuador,520,Las Rejas,680,San Alberto Hurtado,,,,
EFE Quilicura,1530,Lo Cruzat,1240,Los Libertadores,,,,
Einstein,1440,Dorsal,920,Cementerios,,,,
El Golf,620,Tobalaba,630,Alcántara,,,,
El Llano,750,Franklin,740,San Miguel,,,,
El Parrón,980,Lo Ovalle,1200,La Cisterna,,,,
Elisa Correa,930,Los Quillayes,790,Hospital Sótero del Río,,,,
Escuela Militar,600,Alcántara,1500,Manquehue,,,,
Estación Central,750,Universidad de Santiago,630,Unión Latinoamericana,,,,
Estadio Nacional,1960,Ñuble,930,Ñuñoa,,,,
Fernando Castillo Velasco,1320,Plaza Egaña,,,,,,
Francisco Bilbao,770,Cristóbal Colón,1420,Príncipe de Gales,,,,
Franklin,1040,Rondizzoni,750,El Llano,,,,
Franklin,1590,Presidente Pedro Aguirre Cerda,640,Bío Bío,,,,
Grecia,830,Los Orientales,1210,Los Presidentes,,,,
Gruta de Lourdes,1520,Blanqueado,1080,Quinta Normal,,,,
Hernando de Magallanes,1160,Manquehue,1080,Los Dominicos,,,,
Hospital El Pino,1390,Lo Martínez,,,,,,
Hospital Sótero del Río,790,Elisa Correa,1470,Protectora de la Infancia,,,,
Hospitales,1240,Plaza Chacabuco,1670,Puente Cal y Canto,,,,
Inés de Suárez,1820,Ñuñoa,2250,Los Leones,,,,
Irarrázaval,1410,Matta,1350,Monseñor Eyzaguirre,,,,
Irarrázaval,720,Santa Isabel,1650,Ñuble,,,,
La Cisterna,1200,El Parrón,970,Riquelme,,,,
La Cisterna,,,2000,San Ramón,,,,
La Granja,1710,Santa Rosa,1570,Santa Julia,,,,
La Moneda,460,Los Héroes,400,Universidad de Chile,,,,
Laguna Sur,1600,Las Parcelas,1220,Barrancas,,,,
Las Mercedes,1300,Protectora de la Infancia,750,Plaza de Puente Alto,,,,
Las Parcelas,940,Monte Tabor,1600,Laguna Sur,,,,
Las Rejas,860,Pajaritos,520,Ecuador,,,,
Las Torres,1370,Quilín,1190,Macul,,,,
Lo Cruzat,1000,Plaza de Quilicura,1530,EFE Quilicura,,,,
Lo Martínez,1260,Observatorio,1390,Hospital El Pino,,,,
Lo Ovalle,880,Ciudad del Niño,980,El Parrón,,,,
Lo Prado,570,San Pablo,860,Blanqueado,,,,
Lo Valledor,1570,Cerrillos,1500,Presidente Pedro Aguirre Cerda,,,,
Lo Vial,850,San Miguel,640,Departamental,,,,
Los Dominicos,1080,Hernando de Magallanes,,,,,,
Los Héroes,590,República,460,La Moneda,,,,
Los Héroes,890,Santa Ana,820,Toesca,,,,
Los Leones,550,Pedro de Valdivia,820,Tobalaba,,,,
Los Leones,2250,Inés de Suárez,,,,,,
Los Libertadores,1240,EFE Quilicura,1110,Cardenal Caro,,,,
Los Orientales,1000,Plaza Egaña,830,Grecia,,,,
Los Presidentes,1210,Grecia,900,Quilín,,,,
Los Quillayes,890,San José de la Estrella,930,Elisa Correa,,,,
Macul,1190,Las Torres,1300,Vicuña Mackenna,,,,
Manquehue,1500,Escuela Militar,1160,Hernando de Magallanes,,,,
Manuel Montt,830,Salvador,700,Pedro de Valdivia,,,,
Matta,1430,Parque Almagro,1410,Irarrázaval,,,,
Mirador,850,Pedrero,920,Bellavista de La Florida,,,,
Monseñor Eyzaguirre,1350,Irarrázaval,780,Ñuñoa,,,,
Monte Tabor,1050,Del Sol,940,Las Parcelas,,,,
Neptuno,690,San Pablo,1030,Pajaritos,,,,
Ñuble,1650,Irarrázaval,1240,Rodrigo de Araya,,,,
Ñuble,2120,Bío Bío,1960,Estadio Nacional,,,,
Ñuñoa,780,Monseñor Eyzaguirre,750,Chile España,,,,
Ñuñoa,930,Estadio Nacional,1820,Inés de Suárez,,,,
Observatorio,1620,Riquelme,1260,Lo Martínez,,,,
Pajaritos,1030,Neptuno,860,Las Rejas,,,,
Parque Almagro,840,Universidad de Chile,1430,Matta,,,,
Parque Bustamante,610,Baquedano,500,Santa Isabel,,,,
Parque O'Higgins,960,Toesca,950,Rondizzoni,,,,
Patronato,780,Cerro Blanco,760,Puente Cal y Canto,,,,
Pedrero,1090,San Joaquín,850,Mirador,,,,
Pedro de Valdivia,700,Manuel Montt,550,Los Leones,,,,
Plaza Chacabuco,1310,Conchalí,1240,Hospitales,,,,
Plaza de Armas,570,Puente Cal y Canto,730,Universidad de Chile,,,,
Plaza de Armas,870,Santa Ana,640,Bellas Artes,,,,
Plaza de Maipú,,,1530,Santiago Bueras,,,,
