location_id,west__time,west__station,east__time,east__station,south__time,south__station,north__time,north__station
Alcántara,105,El Golf,100,Escuela Militar,0,,0,
Baquedano,110,Universidad Católica,150,Salvador,102,Parque Bustamante,175,Bellas Artes
Universidad de Chile,67,La Moneda,80,Santa Lucía,140,Parque Almagro,122,Plaza de Armas
Barrancas,203,Laguna Sur,160,Pudahuel,0,,0,
Bellas Artes,107,Plaza de Armas,175,Baquedano,0,,0,
Bellavista de La Florida,153,Mirador,128,Vicente Valdés,0,,0,
Bío Bío,107,Franklin,353,Ñuble,0,,0,
Blanqueado,143,Lo Prado,253,Gruta de Lourdes,0,,0,
Camino Agrícola,90,Carlos Valdovinos,132,San Joaquín,0,,0,
Cardenal Caro,185,Los Libertadores,267,Vivaceta,0,,0,
Carlos Valdovinos,177,Rodrigo de Araya,90,Camino Agrícola,0,,0,
Cementerios,153,Einstein,162,Cerro Blanco,0,,0,
Cerrillos,0,,262,Lo Valledor,0,,0,
Cerro Blanco,162,Cementerios,130,Patronato,0,,0,
Chile España,125,Ñuñoa,257,Villa Frei,0,,0,
Ciudad del Niño,128,Departamental,147,Lo Ovalle,0,,0,
Conchalí,260,Vivaceta,218,Plaza Chacabuco,0,,0,
Cristóbal Colón,218,Tobalaba,128,Francisco Bilbao,0,,0,
Cumming,182,Quinta Normal,137,Santa Ana,0,,0,
Del Sol,135,Santiago Bueras,175,Monte Tabor,0,,0,
Departamental,107,Lo Vial,128,Ciudad del Niño,0,,0,
Dorsal,110,Zapadores,240,Einstein,0,,0,
Ecuador,87,Las Rejas,113,San Alberto Hurtado,0,,0,
EFE Quilicura,255,Lo Cruzat,207,Los Libertadores,0,,0,
Einstein,240,Dorsal,153,Cementerios,0,,0,
El Golf,103,Tobalaba,105,Alcántara,0,,0,
El Llano,125,Franklin,123,San Miguel,0,,0,
El Parrón,163,Lo Ovalle,200,La Cisterna,0,,0,
Elisa Correa,155,Los Quillayes,132,Hospital Sótero del Río,0,,0,
Escuela Militar,100,Alcántara,250,Manquehue,0,,0,
Estación Central,125,Universidad de Santiago,105,Unión Latinoamericana,0,,0,
Estadio Nacional,327,Ñuble,155,Ñuñoa,0,,0,
Fernando Castillo Velasco,220,Plaza Egaña,0,,0,,0,
