"station","address","line","previous__distance_in_meters","previous__station","previous__distance_in_time","previous__combination","next","previous","next__distance_in_meters","next__station","next__distance_in_time","next__combination","transfer_to","coords__lat","coords__lng"
"San Pablo","Neptuno con Reina Maud , Santiago de Chile","L1","","","","","","null","690","Neptuno","101.28872893861623","1","L5","-33.4444278","-70.7227343"
"Neptuno","Neptuno con Dorsal , Santiago de Chile","L1","690","San Pablo","88.88796227059086","9999","","","1030","Pajaritos","61.42308404468377","1","null","-33.451546","-70.722687"
"Pajaritos","General Bonilla con Santa Marta , Santiago de Chile","L1","1030","Neptuno","76.69248224558255","1","","","860","Las Rejas","75.53359076082158","1","null","-33.4574035","-70.71596439999999"
"Las Rejas","Alameda con Las Rejas , Santiago de Chile","L1","860","Pajaritos","83.83456962784051","1","","","520","Ecuador","129.1075712603572","1","null","-33.4574571","-70.7063254"
"Ecuador","Alameda con Radal , Santiago de Chile","L1","520","Las Rejas","150.17284872635375","1","","","680","San Alberto Hurtado","111.5623231973655","1","null","-33.45592","-70.6997584"
"San Alberto Hurtado","Alameda con Toro Mazote , Santiago de Chile","L1","680","Ecuador","94.36324101227538","1","","","540","Universidad de Santiago","133.19822950220805","1","null","-33.4541111","-70.69230189999999"
"Universidad de Santiago","Alameda con Jotabeche , Santiago de Chile","L1","540","San Alberto Hurtado","129.04398701690445","1","","","750","Estación Central","104.54405643899798","1","null","-33.4527894","-70.6861914"
"Estación Central","Alameda con Matucana , Santiago de Chile","L1","750","Universidad de Santiago","105.48355216218461","1","","","630","Unión Latinoamericana","98.90698958652578","1","null","-33.4513991","-70.6786092"
"Unión Latinoamericana","Alameda con Abate Molina , Santiago de Chile","L1","630","Estación Central","112.58542302970262","1","","","560","República","141.359090597867","1","null","-33.4493623","-70.67336999999999"
"República","Alameda con Ricardo Cumming , Santiago de Chile","L1","560","Unión Latinoamericana","120.41675139680858","1","","","590","Los Héroes","113.6646954715203","9999","null","-33.4455549","-70.65554829999999"
"Los Héroes","Alameda con Autopista Central , Santiago de Chile","L1","590","República","104.38031612251234","1","","","460","La Moneda","145.67819143738825","1","L2","-33.4466032","-70.6612239"
"La Moneda","Alameda con Amunátegui , Santiago de Chile","L1","460","Los Héroes","136.14109269452857","9999","","","400","Universidad de Chile","167.28260502380965","9999","null","-33.4446518","-70.6553259"
"Universidad de Chile","Alameda con Ahumada , Santiago de Chile","L1","400","La Moneda","159.17725991288","1","","","480","Santa Lucía","140.7367934685791","1","L3","-33.443809","-70.650391"
"Santa Lucía","Alameda con Miraflores , Santiago de Chile","L1","480","Universidad de Chile","145.505301329213","9999","","","530","Universidad Católica","132.88911952663952","1","null","-33.4425449","-70.6451545"
"Universidad Católica","Alameda con Portugal , Santiago de Chile","L1","530","Santa Lucía","124.40710847350505","1","","","660","Baquedano","101.111282671293","9999","null","-33.4404749","-70.6406696"
"Baquedano","Providencia con Vicuña Mackenna , Santiago de Chile","L1","660","Universidad Católica","103.53287963103148","1","","","900","Salvador","69.86639804765079","1","L5","-33.4372646","-70.63324949999999"
"Salvador","Providencia con Salvador , Santiago de Chile","L1","900","Baquedano","68.81009698066602","9999","","","830","Manuel Montt","93.39092806144825","1","null","-33.4331711","-70.6262966"
"Manuel Montt","Providencia con Manuel Montt , Santiago de Chile","L1","830","Salvador","75.30944699814866","1","","","700","Pedro de Valdivia","111.74712380417357","1","null","-33.4285187","-70.61952289999999"
"Pedro de Valdivia","Nueva Providencia con Marchant Pereira , Santiago de Chile","L1","700","Manuel Montt","105.61188291931522","1","","","550","Los Leones","137.4569295506069","9999","null","-33.4249615","-70.6139804"
"Los Leones","Nueva Providencia con Ricardo Lyon , Santiago de Chile","L1","550","Pedro de Valdivia","121.3811097710808","1","","","820","Tobalaba","96.3332490944758","1","L6","-33.4221367","-70.60882610000002"
"Tobalaba","Nueva Providencia con Tobalaba , Santiago de Chile","L1","820","Los Leones","83.9802207953689","1","","","620","El Golf","102.0765474019202","1","L4","-33.4857085","-70.55843709999999"
"El Golf","Apoquindo con San Crescente , Santiago de Chile","L1","620","Tobalaba","116.15036825979678","9999","","","630","Alcántara","103.17738218086093","1","null","-33.4166529","-70.5958471"
"Alcántara","Apoquindo con Alcántara , Santiago de Chile","L1","630","El Golf","102.93290925353091","1","","","600","Escuela Militar","108.6530943679136","1","null","-33.4153491","-70.58941999999999"
"Escuela Militar","Apoquindo con Américo Vespucio , Santiago de Chile","L1","600","Alcántara","128.36257305198137","1","","","1500","Manquehue","48.38744127307293","1","null","-33.413517","-70.5832512"
"Manquehue","Apoquindo con Rosario Norte , Santiago de Chile","L1","1500","Escuela Militar","43.992992832351405","1","","","1160","Hernando de Magallanes","60.729996322089924","1","null","-33.4097215","-70.57428569999999"
"Hernando de Magallanes","Apoquindo con Hdo. de Magallanes , Santiago de Chile","L1","1160","Manquehue","60.6405384644206","1","","","1080","Los Dominicos","70.72022228394978","1","null","-33.408265","-70.55616239999999"
"Los Dominicos","Apoquindo con Patagonia , Santiago de Chile","L1","1080","Hernando de Magallanes","70.85654190855675","1","null","","","","","","null","-33.4079007","-70.5451693"
"Vespucio Norte","Américo Vespucio con Principal Carrera P. , Santiago de Chile","L2","","","","","","null","1500","Zapadores","42.672588508726854","1","null","-33.3808042","-70.6466861"
"Zapadores","Recoleta con Zapadores , Santiago de Chile","L2","1500","Vespucio Norte","45.18685431058868","1","","","660","Dorsal","118.70848396901312","1","null","-33.3913109","-70.6425876"
"Dorsal","Recoleta con Dorsal , Santiago de Chile","L2","660","Zapadores","118.56801518941191","1","","","1440","Einstein","48.29832931429172","1","null","-33.396736","-70.64308100000001"
"Einstein","Recoleta con Einstein , Santiago de Chile","L2","1440","Dorsal","51.79281071864423","1","","","920","Cementerios","73.06169423377777","1","null","-33.4056331","-70.6435438"
"Cementerios","Recoleta con Arzobispo Valdivieso , Santiago de Chile","L2","920","Einstein","72.46733827103473","1","","","970","Cerro Blanco","77.87779495854872","1","null","-33.4139575","-70.6437062"
"Cerro Blanco","Recoleta con Santos Dumont , Santiago de Chile","L2","970","Cementerios","72.74442916355518","1","","","780","Patronato","88.8896783664883","1","null","-33.4225707","-70.64504930000001"
"Patronato","Recoleta con Lastra , Santiago de Chile","L2","780","Cerro Blanco","100.63505213229526","1","","","760","Puente Cal y Canto","93.44871019984005","9999","null","-33.4294048","-70.64686499999999"
"Puente Cal y Canto","General Mackenna con Puente , Santiago de Chile","L2","760","Patronato","92.75367753115151","1","","","1290","Santa Ana","47.79304926300736","9999","L3","-33.4327343","-70.6523831"
"Santa Ana","Autopista Central con Catedral , Santiago de Chile","L2","1290","Puente Cal y Canto","49.98699387237556","9999","","","890","Los Héroes","70.66797492344794","9999","L5","-33.43810330000001","-70.6599026"
"Los Héroes","Autopista Central con Alameda , Santiago de Chile","L2","890","Santa Ana","85.14223077833418","9999","","","820","Toesca","92.22360283760587","1","L1","-33.4466032","-70.6612239"
"Toesca","Autopista Central con Toesca , Santiago de Chile","L2","820","Los Héroes","76.57850387125973","9999","","","960","Parque O'Higgins","81.98789571407418","1","null","-33.4529468","-70.65855"
"Parque O'Higgins","Autopista Central con M. A. Matta , Santiago de Chile","L2","960","Toesca","66.27115118700904","1","","","950","Rondizzoni","73.69944770647331","1","null","-33.4609788","-70.6568466"
"Rondizzoni","Autopista Central con Rondizzoni , Santiago de Chile","L2","950","Parque O'Higgins","72.65962777039805","1","","","1040","Franklin","71.1103774109661","9999","null","-33.4702146","-70.6563434"
"Franklin","Placer con Franklin , Santiago de Chile","L2","1040","Rondizzoni","60.072367792755635","1","","","750","El Llano","105.24392096347115","1","L6","-33.4760254","-70.649369"
"El Llano","Gran Avenida con J. J. Vallejos , Santiago de Chile","L2","750","Franklin","93.39260524284482","9999","","","740","San Miguel","86.57850756765201","1","null","-33.482703","-70.6492315"
"San Miguel","Gran Avenida con Arcángel , Santiago de Chile","L2","740","El Llano","92.37746757479208","1","","","850","Lo Vial","85.57145377840372","1","null","-33.4887319","-70.65115999999999"
"Lo Vial","Gran Avenida con Blanco Viel , Santiago de Chile","L2","850","San Miguel","82.45676834109298","1","","","640","Departamental","105.29020438745115","1","null","-33.4967971","-70.6529987"
"Departamental","Gran Avenida con Carlos Edwards , Santiago de Chile","L2","640","Lo Vial","123.62173683565513","1","","","770","Ciudad del Niño","83.22763379424246","1","null","-33.5024916","-70.65464"
"Ciudad del Niño","Gran Avenida con Sexta Avenida , Santiago de Chile","L2","770","Departamental","98.97401945303533","1","","","880","Lo Ovalle","69.70415873727107","1","null","-33.5097615","-70.6567322"
