location_id,west__distance_in_meters,west__station,west__distance_in_time,east__distance_in_meters,east__station,east__distance_in_time,south__distance_in_meters,south__station,south__distance_in_time,north__distance_in_meters,nortth__station,north__distance_in_time
Alcántara,630,El Golf,102.93290925353100,600,Escuela Militar,108.6530943679140,,,,,,
Baquedano,660,Universidad Católica,103.53287963103100,900,Salvador,69.86639804765080,610,Parque Bustamante,119.94798183009900,1050,Bellas Artes,66.96434691078930
Universidad de Chile,400,La Moneda,159.17725991288,480,Santa Lucía,140.7367934685790,840,Parque Almagro,73.94853115837170,730,Plaza de Armas,100.90020575258300
Barrancas,1220,Laguna Sur,61.992248375804700,960,Pudahuel,67.06821888933160,,,,,,
Bellas Artes,640,Plaza de Armas,104.19970912386600,1050,Baquedano,63.53936468427240,,,,,,
Bellavista de La Florida,920,Mirador,71.9508733299071,770,Vicente Valdés,91.51270977666440,,,,,,
Bío Bío,640,Franklin,96.01672366656170,2120,Ñuble,31.920630084053400,,,,,,
Blanqueado,860,Lo Prado,83.17268228686920,1520,Gruta de Lourdes,44.699438637777000,,,,,,
Camino Agrícola,540,Carlos Valdovinos,131.90597198678900,790,San Joaquín,77.99646759043930,,,,,,
Cardenal Caro,1110,Los Libertadores,69.27842329611290,1600,Vivaceta,45.944722339312200,,,,,,
Carlos Valdovinos,1060,Rodrigo de Araya,71.47054478567240,540,Camino Agrícola,123.60761778720400,,,,,,
Cementerios,920,Einstein,72.46733827103470,970,Cerro Blanco,77.87779495854870,,,,,,
Cerrillos,,,,1570,Lo Valledor,40.49862761641940,,,,,,
Cerro Blanco,970,Cementerios,72.74442916355520,780,Patronato,88.8896783664883,,,,,,
Chile España,750,Ñuñoa,82.49474835568210,1540,Villa Frei,44.220836837191500,,,,,,
Ciudad del Niño,770,Departamental,98.97401945303530,880,Lo Ovalle,69.70415873727110,,,,,,
Conchalí,1560,Vivaceta,41.077809871100400,1310,Plaza Chacabuco,52.908782164752600,,,,,,
Cristóbal Colón,1310,Tobalaba,54.12039523847050,770,Francisco Bilbao,96.09619422893950,,,,,,
Cumming,1090,Quinta Normal,61.092766516259000,820,Santa Ana,83.45954051408520,,,,,,
Del Sol,810,Santiago Bueras,79.97692306455950,1050,Monte Tabor,64.63307042168610,,,,,,
Departamental,640,Lo Vial,123.62173683565500,770,Ciudad del Niño,83.22763379424250,,,,,,
